Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Player
Champions League ,Group Stage,12/11/19,Home,Paris Saint-Germain,Galatasaray,5:0,LW,47',3:0,Left-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,18,12/15/19,Away,Paris Saint-Germain,AS Saint-Étienne,0:4,LW,9',0:1,Deflected shot on goal,Leandro Paredes,Neymar
Ligue 1 ,19,12/21/19,Home,Paris Saint-Germain,Amiens SC,4:1,LW,46',2:0,Right-footed shot,Mauro Icardi,Neymar
Coupe de la Ligue ,Quarter-Finals,1/8/20,Home,Paris Saint-Germain,AS Saint-Étienne,6:1,LW,39',2:0,Right-footed shot,Ángel Di María,Neymar
Ligue 1 ,20,1/12/20,Home,Paris Saint-Germain,AS Monaco,3:3,LW,3',1:0,Left-footed shot,Marco Verratti,Neymar
Ligue 1 ,20,1/12/20,Home,Paris Saint-Germain,AS Monaco,3:3,LW,42',3:2,Penalty,Not Applicable,Neymar
Ligue 1 ,15,1/15/20,Away,Paris Saint-Germain,AS Monaco,1:4,LW,45'+2,0:2,Penalty,Not Applicable,Neymar
Ligue 1 ,21,1/26/20,Away,Paris Saint-Germain,LOSC Lille,0:2,LW,28',0:1,Right-footed shot,Marco Verratti,Neymar
Ligue 1 ,21,1/26/20,Away,Paris Saint-Germain,LOSC Lille,0:2,LW,52',0:2,Penalty,Not Applicable,Neymar
Champions League ,last 16,2/18/20,Away,Paris Saint-Germain,Borussia Dortmund,2:1,LW,75',1:1,Left-footed shot,Kylian Mbappé,Neymar
Coupe de France ,Semi-Finals,3/4/20,Away,Paris Saint-Germain,Olympique Lyon,1:5,LW,64',1:2,Penalty,Not Applicable,Neymar
Champions League ,last 16,3/11/20,Home,Paris Saint-Germain,Borussia Dortmund,2:0,LW,28',1:0,Header,Ángel Di María,Neymar
Coupe de France ,Final,7/24/20,Home,Paris Saint-Germain,AS Saint-Étienne,1:0,LW,14',1:0,Left-footed shot,Not Applicable,Neymar
Ligue 1 ,6,10/2/20,Home,Paris Saint-Germain,Angers SCO,6:1,LW,36',2:0,Left-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,6,10/2/20,Home,Paris Saint-Germain,Angers SCO,6:1,LW,47',3:0,Right-footed shot,Not Applicable,Neymar
Champions League ,Group Stage,11/24/20,Home,Paris Saint-Germain,RB Leipzig,1:0,CF,11',1:0,Penalty,Not Applicable,Neymar
Ligue 1 ,12,11/28/20,Home,Paris Saint-Germain,FC Girondins Bordeaux,2:2,LW,27',1:1,Penalty,Not Applicable,Neymar
Champions League ,Group Stage,12/2/20,Away,Paris Saint-Germain,Manchester United,1:3,LW,6',0:1,Right-footed shot,Not Applicable,Neymar
Champions League ,Group Stage,12/2/20,Away,Paris Saint-Germain,Manchester United,1:3,LW,90'+1,1:3,Left-footed shot,Rafinha,Neymar
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,21',1:0,Right-footed shot,Marco Verratti,Neymar
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,37',2:0,Counter attack goal,Kylian Mbappé,Neymar
Champions League ,Group Stage,12/9/20,Home,Paris Saint-Germain,Basaksehir FK,5:1,CF,50',4:0,Right-footed shot,Ángel Di María,Neymar
Trophée des Champions ,Final,1/13/21,Home,Paris Saint-Germain,Olympique Marseille,2:1,LW,85',2:0,Penalty,Not Applicable,Neymar
Ligue 1 ,21,1/22/21,Home,Paris Saint-Germain,Montpellier HSC,4:0,LW,60',2:0,Right-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,22,1/31/21,Away,Paris Saint-Germain,FC Lorient,3:2,LW,45',1:1,Penalty,Not Applicable,Neymar
Ligue 1 ,22,1/31/21,Away,Paris Saint-Germain,FC Lorient,3:2,LW,58',1:2,Penalty,Not Applicable,Neymar
Coupe de France ,Quarter-Finals,4/21/21,Home,Paris Saint-Germain,Angers SCO,5:0,SS,65',3:0,Header,Julian Draxler,Neymar
Ligue 1 ,35,5/1/21,Home,Paris Saint-Germain,RC Lens,2:1,LW,33',1:0,Right-footed shot,Julian Draxler,Neymar
Ligue 1 ,36,5/9/21,Away,Paris Saint-Germain,Stade Rennais FC,1:1,LW,45'+6,0:1,Penalty,Not Applicable,Neymar
Ligue 1 ,37,5/16/21,Home,Paris Saint-Germain,Stade Reims,4:0,SS,13',1:0,Penalty,Not Applicable,Neymar
Ligue 1 ,6,9/19/21,Home,Paris Saint-Germain,Olympique Lyon,2:1,LW,66',1:1,Penalty,Not Applicable,Neymar
Ligue 1 ,13,11/6/21,Away,Paris Saint-Germain,FC Girondins Bordeaux,2:3,LW,26',0:1,Right-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,13,11/6/21,Away,Paris Saint-Germain,FC Girondins Bordeaux,2:3,LW,43',0:2,Right-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,25,2/19/22,Away,Paris Saint-Germain,FC Nantes,3:1,LW,47',3:1,Right-footed shot,Lionel Messi,Neymar
Ligue 1 ,28,3/13/22,Home,Paris Saint-Germain,FC Girondins Bordeaux,3:0,LW,52',2:0,Right-footed shot,Achraf Hakimi,Neymar
Ligue 1 ,30,4/3/22,Home,Paris Saint-Germain,FC Lorient,5:1,LW,12',1:0,Right-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,30,4/3/22,Home,Paris Saint-Germain,FC Lorient,5:1,LW,90',5:1,Right-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,6',0:1,Left-footed shot,Lionel Messi,Neymar
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,71',1:3,Penalty,Not Applicable,Neymar
Ligue 1 ,31,4/9/22,Away,Paris Saint-Germain,Clermont Foot 63,1:6,LW,83',1:6,Left-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,32,4/17/22,Home,Paris Saint-Germain,Olympique Marseille,2:1,LW,12',1:0,Left-footed shot,Marco Verratti,Neymar
Ligue 1 ,36,5/8/22,Home,Paris Saint-Germain,ESTAC Troyes,2:2,LW,25',2:0,Penalty,Not Applicable,Neymar
Ligue 1 ,38,5/21/22,Home,Paris Saint-Germain,FC Metz,5:0,LW,31',3:0,Right-footed shot,Not Applicable,Neymar
Trophée des Champions ,Final,7/31/22,Home,Paris Saint-Germain,FC Nantes,4:0,LW,45'+5,2:0,Direct free kick,Not Applicable,Neymar
Trophée des Champions ,Final,7/31/22,Home,Paris Saint-Germain,FC Nantes,4:0,LW,82',4:0,Penalty,Not Applicable,Neymar
Ligue 1 ,1,8/6/22,Away,Paris Saint-Germain,Clermont Foot 63,0:5,LW,9',0:1,Right-footed shot,Lionel Messi,Neymar
Ligue 1 ,2,8/13/22,Home,Paris Saint-Germain,Montpellier HSC,5:2,SS,43',2:0,Penalty,Not Applicable,Neymar
Ligue 1 ,2,8/13/22,Home,Paris Saint-Germain,Montpellier HSC,5:2,SS,51',3:0,Header,Not Applicable,Neymar
Ligue 1 ,3,8/21/22,Away,Paris Saint-Germain,LOSC Lille,1:7,LW,43',0:4,Right-footed shot,Not Applicable,Neymar
Ligue 1 ,3,8/21/22,Away,Paris Saint-Germain,LOSC Lille,1:7,LW,52',0:5,Right-footed shot,Achraf Hakimi,Neymar
Ligue 1 ,4,8/28/22,Home,Paris Saint-Germain,AS Monaco,1:1,LW,70',1:1,Penalty,Not Applicable,Neymar
Ligue 1 ,5,8/31/22,Away,Paris Saint-Germain,FC Toulouse,0:3,LW,37',0:1,Right-footed shot,Lionel Messi,Neymar
Ligue 1 ,7,9/10/22,Home,Paris Saint-Germain,Stade Brestois 29,1:0,SS,30',1:0,Left-footed shot,Lionel Messi,Neymar
Champions League ,Group Stage,9/14/22,Away,Paris Saint-Germain,Maccabi Haifa,1:3,LW,88',1:3,Left-footed shot,Marco Verratti,Neymar
Ligue 1 ,11,10/16/22,Home,Paris Saint-Germain,Olympique Marseille,1:0,AM,45'+2,1:0,Right-footed shot,Kylian Mbappé,Neymar
Champions League ,Group Stage,10/25/22,Home,Paris Saint-Germain,Maccabi Haifa,7:2,AM,35',3:0,Right-footed shot,Lionel Messi,Neymar
Ligue 1 ,13,10/29/22,Home,Paris Saint-Germain,ESTAC Troyes,4:3,LW,62',3:2,Right-footed shot,Lionel Messi,Neymar
Ligue 1 ,14,11/6/22,Away,Paris Saint-Germain,FC Lorient,1:2,AM,9',0:1,Left-footed shot,Hugo Ekitiké,Neymar
Coupe de France ,Fourth Round,1/23/23,Away,Paris Saint-Germain,US Pays de Cassel,0:7,LW,33',0:2,Left-footed shot,Kylian Mbappé,Neymar
Ligue 1 ,20,1/29/23,Home,Paris Saint-Germain,Stade Reims,1:1,LW,51',1:0,Left-footed shot,Juan Bernat,Neymar
Ligue 1 ,24,2/19/23,Home,Paris Saint-Germain,LOSC Lille,4:3,AM,17',2:0,Right-footed shot,Vitinha,Neymar
AFC Champions League ,Group Stage,10/3/23,Away,Al-Hilal SFC,FC Nassaji Mazandaran,0:3,AM,58',0:2,Left-footed shot,Nasser Al-Dawsari,Neymar
Fortuna 1 Liga ,1,7/29/07,Away,Znicz Pruszkow,Pelikan Lowicz,0:2,CF,90',0:2,Not reported,Not Applicable,Robert Lewandowski
Fortuna 1 Liga ,2,8/5/07,Home,Znicz Pruszkow,Kmita Zabierzów,4:0,CF,77',4:0,Not reported,Not Applicable,Robert Lewandowski
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,24',0:1,Not reported,Igor Lewczuk,Robert Lewandowski
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,56',0:3,Not reported,Pawel Kaczmarek,Robert Lewandowski
Fortuna 1 Liga ,31,5/11/08,Home,Znicz Pruszkow,Motor Lublin,3:0,CF,35',2:0,Not reported,Not Applicable,Robert Lewandowski
UEFA-Cup Qualifikation ,First Round,7/17/08,Away,Lech Poznan,Khazar Lankaran (- 2016),0:1,Not Applicable,76',0:1,Not reported,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,1,8/8/08,Home,Lech Poznan,GKS Belchatow,2:3,Not Applicable,67',2:1,Not reported,Tomasz Bandrowski,Robert Lewandowski
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,14',2:0,Right-footed shot,Hernán Rengifo,Robert Lewandowski
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,56',3:0,Right-footed shot,Semir Stilic,Robert Lewandowski
Ekstraklasa ,3,8/23/08,Home,Lech Poznan,Górnik Zabrze,3:0,Not Applicable,10',1:0,Not reported,Semir Stilic,Robert Lewandowski
Ekstraklasa ,4,8/31/08,Away,Lech Poznan,Arka Gdynia,2:1,Not Applicable,23',0:1,Not reported,Hernán Rengifo,Robert Lewandowski
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,8',0:2,Deflected shot on goal,Semir Stilic,Robert Lewandowski
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,58',1:4,Right-footed shot,Dimitrije Injac,Robert Lewandowski
UEFA Cup ,First Round,10/2/08,Home,Lech Poznan,Austria Vienna,4:2,CF,99',3:1,Long distance kick,Not Applicable,Robert Lewandowski
Ekstraklasa ,10,10/25/08,Home,Lech Poznan,Slask Wroclaw,1:1,Not Applicable,6',1:0,Not reported,Semir Stilic,Robert Lewandowski
Ekstraklasa ,11,10/31/08,Home,Lech Poznan,Odra Wodzislaw Slaski,3:1,Not Applicable,53',3:1,Not reported,Not Applicable,Robert Lewandowski
Ekstraklasa ,12,11/9/08,Away,Lech Poznan,Lechia Gdansk,0:3,Not Applicable,45',0:1,Not reported,Semir Stilic,Robert Lewandowski
Ekstraklasa ,18,3/1/09,Away,Lech Poznan,GKS Belchatow,2:3,Not Applicable,90',2:3,Left-footed shot,Hernán Rengifo,Robert Lewandowski
Fortuna Polish Cup ,Quarter-Finals,3/4/09,Away,Lech Poznan,Wisla Kraków,0:1,Not Applicable,49',0:1,Right-footed shot,Semir Stilic,Robert Lewandowski
Ekstraklasa ,19,3/8/09,Home,Lech Poznan,Jagiellonia Bialystok,1:0,Not Applicable,48',1:0,Left-footed shot,Tomasz Bandrowski,Robert Lewandowski
Fortuna Polish Cup ,Quarter-Finals,4/8/09,Home,Lech Poznan,Wisla Kraków,2:1,Not Applicable,26',1:0,Right-footed shot,Ivan Djurdjevic,Robert Lewandowski
Ekstraklasa ,25,4/26/09,Away,Lech Poznan,Legia Warszawa,1:1,Not Applicable,75',1:1,Not reported,Bartosz Bosacki,Robert Lewandowski
Ekstraklasa ,26,5/3/09,Home,Lech Poznan,Ruch Chorzow,1:1,Not Applicable,45',1:0,Right-footed shot,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,27,5/9/09,Away,Lech Poznan,Slask Wroclaw,0:2,Not Applicable,12',0:1,Right-footed shot,Jakub Wilk,Robert Lewandowski
Ekstraklasa ,28,5/15/09,Home,Lech Poznan,Lechia Gdansk,1:0,Not Applicable,85',1:0,Header,Rafal Murawski,Robert Lewandowski
Superpuchar ,Final,7/25/09,Away,Lech Poznan,Wisla Kraków,3:4,CF,9',0:1,Right-footed shot,Marcin Kikut,Robert Lewandowski
Europa League Qualifying ,3rd round,7/30/09,Away,Lech Poznan,Fredrikstad FK,1:6,Not Applicable,51',1:4,Right-footed shot,Tomasz Bandrowski,Robert Lewandowski
Europa League Qualifying ,3rd round,8/6/09,Home,Lech Poznan,Fredrikstad FK,1:2,Not Applicable,63',1:2,Header,Semir Stilic,Robert Lewandowski
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,85',0:4,Right-footed shot,Semir Stilic,Robert Lewandowski
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,87',0:5,Left-footed shot,Marcin Kikut,Robert Lewandowski
Ekstraklasa ,5,8/30/09,Home,Lech Poznan,GKS Belchatow,2:2,Not Applicable,59',1:2,Right-footed shot,Jakub Wilk,Robert Lewandowski
Ekstraklasa ,6,9/12/09,Away,Lech Poznan,Jagiellonia Bialystok,2:3,Not Applicable,27',2:1,Left-footed shot,Marcin Kikut,Robert Lewandowski
Ekstraklasa ,9,10/4/09,Away,Lech Poznan,Arka Gdynia,1:1,Not Applicable,76',1:1,Header,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,10,10/18/09,Home,Lech Poznan,Wisla Kraków,1:0,Not Applicable,60',1:0,Right-footed shot,Semir Stilic,Robert Lewandowski
Ekstraklasa ,13,11/7/09,Away,Lech Poznan,Polonia Bytom,1:1,Not Applicable,63',0:1,Right-footed shot,Jakub Wilk,Robert Lewandowski
Ekstraklasa ,14,11/21/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,12',1:0,Not reported,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,14,11/21/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,44',2:0,Right-footed shot,Tomasz Mikolajczak,Robert Lewandowski
Ekstraklasa ,18,2/28/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,25',0:1,Right-footed shot,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,18,2/28/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,72',0:2,Right-footed shot,Semir Stilic,Robert Lewandowski
Ekstraklasa ,19,3/6/10,Home,Lech Poznan,Cracovia,3:1,Not Applicable,37',2:1,Tap-in,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,21,3/21/10,Home,Lech Poznan,Jagiellonia Bialystok,2:0,Not Applicable,27',1:0,Header,Dimitrije Injac,Robert Lewandowski
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,23',0:1,Header,Sergey Krivets,Robert Lewandowski
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,57',0:3,Left-footed shot,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,28,5/8/10,Home,Lech Poznan,Polonia Bytom,3:0,Not Applicable,34',3:0,Left-footed shot,Slawomir Peszko,Robert Lewandowski
Ekstraklasa ,29,5/11/10,Away,Lech Poznan,Ruch Chorzow,1:2,Not Applicable,69',1:1,Left-footed shot,Grzegorz Wojtkowiak,Robert Lewandowski
Ekstraklasa ,30,5/15/10,Home,Lech Poznan,Zaglebie Lubin,2:0,Not Applicable,58',2:0,Right-footed shot,Sergey Krivets,Robert Lewandowski
Bundesliga ,4,9/19/10,Away,Borussia Dortmund,FC Schalke 04,1:3,CF,86',0:3,Header,Nuri Şahin,Robert Lewandowski
Bundesliga ,5,9/22/10,Home,Borussia Dortmund,1.FC Kaiserslautern,5:0,CF,75',4:0,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,11,11/7/10,Away,Borussia Dortmund,Hannover 96,0:4,CF,81',0:3,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,13,11/20/10,Away,Borussia Dortmund,SC Freiburg,1:2,SS,75',1:1,Header,Marcel Schmelzer,Robert Lewandowski
Europa League ,group stage,12/2/10,Home,Borussia Dortmund,Karpaty Lviv (-2021),3:0,CF,89',3:0,Left-footed shot,Nuri Şahin,Robert Lewandowski
Bundesliga ,15,12/5/10,Away,Borussia Dortmund,1.FC Nuremberg,0:2,CF,88',0:2,Left-footed shot,Not Applicable,Robert Lewandowski
Bundesliga ,25,3/4/11,Home,Borussia Dortmund,1.FC Köln,1:0,SS,44',1:0,Left-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,30,4/17/11,Home,Borussia Dortmund,SC Freiburg,3:0,CF,43',2:0,Right-footed shot,Not Applicable,Robert Lewandowski
Bundesliga ,32,4/30/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,SS,43',2:0,Right-footed shot,Mats Hummels,Robert Lewandowski
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,10',0:1,Right-footed shot,Shinji Kagawa,Robert Lewandowski
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,90',0:3,Tap-in,Ivan Perisic,Robert Lewandowski
Bundesliga ,3,8/20/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,CF,50',1:0,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,5,9/10/11,Home,Borussia Dortmund,Hertha BSC,1:2,CF,88',1:2,Header,Antônio da Silva,Robert Lewandowski
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,30',1:0,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,44',2:0,Right-footed shot,Sven Bender,Robert Lewandowski
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,78',4:0,Header,Mario Götze,Robert Lewandowski
Champions League ,Group Stage,10/19/11,Away,Borussia Dortmund,Olympiacos Piraeus,3:1,CF,26',1:1,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1.FC Köln,5:0,CF,44',3:0,Right-footed shot,Sven Bender,Robert Lewandowski
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1.FC Köln,5:0,CF,50',4:0,Right-footed shot,Kevin Großkreutz,Robert Lewandowski
DFB-Pokal ,Second Round,10/25/11,Home,Borussia Dortmund,SG Dynamo Dresden,2:0,CF,30',1:0,Header,Mario Götze,Robert Lewandowski
Bundesliga ,12,11/5/11,Home,Borussia Dortmund,VfL Wolfsburg,5:1,CF,66',4:1,Right-footed shot,Shinji Kagawa,Robert Lewandowski
Bundesliga ,14,11/26/11,Home,Borussia Dortmund,FC Schalke 04,2:0,SS,16',1:0,Header,Marcel Schmelzer,Robert Lewandowski
Bundesliga ,15,12/3/11,Away,Borussia Dortmund,Borussia Mönchengladbach,1:1,CF,40',0:1,Header,Mario Götze,Robert Lewandowski
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,7',0:1,Right-footed shot,Shinji Kagawa,Robert Lewandowski
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,70',1:4,Left-footed shot,Kevin Großkreutz,Robert Lewandowski
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,37',0:2,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,83',0:5,Right-footed shot,Kevin Großkreutz,Robert Lewandowski
DFB-Pokal ,Quarter-Finals,2/7/12,Away,Borussia Dortmund,Holstein Kiel,0:4,CF,11',0:1,Right-footed shot,Ivan Perisic,Robert Lewandowski
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,27',1:0,Right-footed shot,Lukasz Piszczek,Robert Lewandowski
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,54',2:0,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,27,3/25/12,Away,Borussia Dortmund,1.FC Köln,1:6,CF,52',1:3,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,22',0:1,Right-footed shot,Ivan Perisic,Robert Lewandowski
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,90',1:3,Right-footed shot,Moritz Leitner,Robert Lewandowski
Bundesliga ,30,4/11/12,Home,Borussia Dortmund,Bayern Munich,1:0,CF,77',1:0,Deflected shot on goal,Kevin Großkreutz,Robert Lewandowski
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,20',2:0,Left-footed shot,Neven Subotic,Robert Lewandowski
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,27',3:0,Tap-in,Lukasz Piszczek,Robert Lewandowski
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,45'+1,3:1,Right-footed shot,Shinji Kagawa,Robert Lewandowski
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,58',4:1,Right-footed shot,Kevin Großkreutz,Robert Lewandowski
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,81',5:2,Header,Lukasz Piszczek,Robert Lewandowski
DFL-Supercup ,Final,8/12/12,Away,Borussia Dortmund,Bayern Munich,2:1,CF,75',2:1,Right-footed shot,Julian Schieber,Robert Lewandowski
Bundesliga ,3,9/15/12,Home,Borussia Dortmund,Bayer 04 Leverkusen,3:0,CF,78',3:0,Header,Marco Reus,Robert Lewandowski
Champions League ,Group Stage,9/18/12,Home,Borussia Dortmund,Ajax Amsterdam,1:0,CF,87',1:0,Right-footed shot,Lukasz Piszczek,Robert Lewandowski
Bundesliga ,7,10/7/12,Away,Borussia Dortmund,Hannover 96,1:1,CF,26',0:1,Right-footed shot,Lukasz Piszczek,Robert Lewandowski
Bundesliga ,8,10/20/12,Home,Borussia Dortmund,FC Schalke 04,1:2,CF,55',1:2,Header,Marco Reus,Robert Lewandowski
Champions League ,Group Stage,10/24/12,Home,Borussia Dortmund,Real Madrid,2:1,CF,36',1:0,Right-footed shot,Sebastian Kehl,Robert Lewandowski
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,51',0:2,Left-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,70',0:3,Left-footed shot,Marco Reus,Robert Lewandowski
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,3',1:0,Left-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,15',2:1,Penalty,Not Applicable,Robert Lewandowski
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,41',0:3,Right-footed shot,Mario Götze,Robert Lewandowski
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,67',0:4,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,12',1:1,Right-footed shot,Marco Reus,Robert Lewandowski
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,43',1:2,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,17,12/16/12,Away,Borussia Dortmund,TSG 1899 Hoffenheim,1:3,CF,66',1:3,Left-footed shot,İlkay Gündoğan,Robert Lewandowski
DFB-Pokal ,Round of 16,12/19/12,Home,Borussia Dortmund,Hannover 96,5:1,CF,90',5:1,Right-footed shot,Leonardo Bittencourt,Robert Lewandowski
Bundesliga ,18,1/19/13,Away,Borussia Dortmund,SV Werder Bremen,0:5,CF,81',0:4,Left-footed shot,Lukasz Piszczek,Robert Lewandowski
Bundesliga ,19,1/25/13,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,88',3:0,Right-footed shot,Marco Reus,Robert Lewandowski
Bundesliga ,20,2/3/13,Away,Borussia Dortmund,Bayer 04 Leverkusen,2:3,CF,63',2:3,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,21,2/9/13,Home,Borussia Dortmund,Hamburger SV,1:4,CF,17',1:0,Right-footed shot,Mats Hummels,Robert Lewandowski
Champions League ,last 16,2/13/13,Away,Borussia Dortmund,Shakhtar Donetsk,2:2,CF,41',1:1,Right-footed shot,Mario Götze,Robert Lewandowski
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,8',1:0,Right-footed shot,Kevin Großkreutz,Robert Lewandowski
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,21',2:0,Tap-in,Kevin Großkreutz,Robert Lewandowski
Bundesliga ,25,3/9/13,Away,Borussia Dortmund,FC Schalke 04,2:1,CF,59',2:1,Right-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,41',1:1,Header,Nuri Şahin,Robert Lewandowski
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,45'+1,3:1,Left-footed shot,Not Applicable,Robert Lewandowski
Bundesliga ,27,3/30/13,Away,Borussia Dortmund,VfB Stuttgart,1:2,CF,82',1:2,Right-footed shot,Lukasz Piszczek,Robert Lewandowski
Bundesliga ,28,4/6/13,Home,Borussia Dortmund,FC Augsburg,4:2,SS,90'+2,4:2,Right-footed shot,Mario Götze,Robert Lewandowski
Champions League ,Quarter-Finals,4/9/13,Home,Borussia Dortmund,Málaga CF,3:2,CF,40',1:1,Right-footed shot,Marco Reus,Robert Lewandowski
Bundesliga ,29,4/13/13,Away,Borussia Dortmund,SpVgg Greuther Fürth,1:6,CF,80',1:6,Left-footed shot,Jakub Blaszczykowski,Robert Lewandowski
Bundesliga ,30,4/20/13,Home,Borussia Dortmund,1.FSV Mainz 05,2:0,CF,87',2:0,Right-footed shot,Lukasz Piszczek,Robert Lewandowski
